Time (s),Channel 1 (V),Channel 2 (V)
-0.001023809868421053,-0.1995447943610005,-0.1871072685245843
-0.001023559868421053,-0.1988579506331631,-0.1867663994244451
-0.001023309868421053,-0.1988579506331631,-0.1871072685245841
-0.001023059868421053,-0.1995447943610002,-0.1864255303243059
-0.001022809868421053,-0.1992013724970819,-0.1864255303243056
-0.001022559868421053,-0.1988579506331631,-0.1864255303243056
-0.001022309868421053,-0.1992013724970819,-0.1864255303243056
-0.001022059868421053,-0.1988579506331633,-0.1871072685245843
-0.001021809868421053,-0.1992013724970819,-0.187107268524584
-0.001021559868421053,-0.1992013724970819,-0.1864255303243059
-0.001021309868421053,-0.1992013724970819,-0.1871072685245843
-0.001021059868421053,-0.1992013724970819,-0.1871072685245843
-0.001020809868421053,-0.1988579506331631,-0.187789006724863
-0.001020559868421053,-0.1995447943610005,-0.1871072685245843
-0.001020309868421053,-0.199201372497082,-0.1874481376247235
-0.001020059868421053,-0.1995447943610004,-0.1871072685245845
-0.001019809868421053,-0.1995447943610005,-0.1877890067248627
-0.001019559868421053,-0.1995447943610005,-0.187789006724863
-0.001019309868421053,-0.1995447943610005,-0.186766399424445
-0.001019059868421053,-0.1995447943610005,-0.1874481376247237
-0.001018809868421053,-0.1992013724970822,-0.1874481376247235
-0.001018559868421053,-0.1998882162249192,-0.1871072685245846
-0.001018309868421053,-0.1998882162249192,-0.1877890067248627
-0.001018059868421053,-0.1992013724970822,-0.187789006724863
-0.001017809868421053,-0.1995447943610005,-0.1881298758250024
-0.001017559868421053,-0.1995447943610005,-0.187789006724863
-0.001017309868421053,-0.1995447943610005,-0.1881298758250024
-0.001017059868421053,-0.1992013724970816,-0.1874481376247235
-0.001016809868421053,-0.1985145287692446,-0.187107268524584
-0.001016559868421053,-0.198857950633163,-0.1864255303243059
-0.001016309868421053,-0.1995447943610005,-0.1860846612241663
-0.001016059868421053,-0.1992013724970819,-0.1871072685245843
-0.001015809868421053,-0.1995447943610005,-0.186766399424445
-0.001015559868421053,-0.199888216224919,-0.1864255303243063
-0.001015309868421053,-0.199544794361001,-0.1877890067248626
-0.001015059868421053,-0.2005750599527561,-0.1867663994244454
-0.001014809868421053,-0.1998882162249195,-0.1874481376247234
-0.001014559868421053,-0.1988579506331631,-0.186766399424445
-0.001014309868421053,-0.1992013724970819,-0.1871072685245843
-0.001014059868421053,-0.1988579506331631,-0.1871072685245843
-0.001013809868421053,-0.1985145287692446,-0.186766399424445
-0.001013559868421053,-0.1988579506331631,-0.186766399424445
-0.001013309868421053,-0.1988579506331631,-0.186766399424445
-0.001013059868421053,-0.1981711069053257,-0.186766399424445
-0.001012809868421053,-0.1981711069053257,-0.1860846612241663
-0.001012559868421053,-0.1988579506331631,-0.1860846612241663
-0.001012309868421053,-0.1985145287692445,-0.1860846612241663
-0.001012059868421053,-0.1988579506331628,-0.1864255303243056
-0.001011809868421053,-0.198171106905326,-0.1864255303243056
-0.001011559868421053,-0.1988579506331628,-0.187107268524584
-0.001011309868421053,-0.1988579506331631,-0.186766399424445
-0.001011059868421053,-0.1992013724970819,-0.187789006724863
-0.001010809868421053,-0.1995447943610005,-0.1864255303243056
-0.001010559868421053,-0.1992013724970823,-0.1871072685245845
-0.001010309868421053,-0.2002316380888379,-0.1874481376247235
-0.001010059868421053,-0.2002316380888379,-0.1871072685245845
-0.001009809868421053,-0.1998882162249192,-0.1871072685245843
-0.001009559868421053,-0.1998882162249192,-0.1871072685245843
-0.001009309868421053,-0.2002316380888379,-0.1874481376247237
-0.001009059868421053,-0.1992013724970819,-0.1874481376247237
-0.001008809868421053,-0.1995447943610004,-0.1874481376247237
-0.001008559868421053,-0.199201372497082,-0.1874481376247237
-0.001008309868421053,-0.1992013724970819,-0.1877890067248629
-0.001008059868421053,-0.1998882162249192,-0.187789006724863
-0.001007809868421053,-0.1988579506331631,-0.1881298758250024
-0.001007559868421053,-0.1995447943610005,-0.187789006724863
-0.001007309868421053,-0.1992013724970819,-0.1881298758250021
-0.001007059868421053,-0.1992013724970819,-0.187448137624724
-0.001006809868421053,-0.1992013724970819,-0.1881298758250021
-0.001006559868421053,-0.1998882162249192,-0.1871072685245843
-0.001006309868421053,-0.2002316380888379,-0.1871072685245843
-0.001006059868421053,-0.2002316380888379,-0.1871072685245843
-0.001005809868421053,-0.2002316380888379,-0.187789006724863
-0.001005559868421053,-0.1998882162249194,-0.187789006724863
-0.001005309868421053,-0.2002316380888378,-0.187789006724863
-0.001005059868421053,-0.1995447943610008,-0.1874481376247238
-0.001004809868421053,-0.2002316380888379,-0.1881298758250024
-0.001004559868421053,-0.2002316380888379,-0.1881298758250024
-0.001004309868421053,-0.1985145287692445,-0.1881298758250024
-0.001004059868421053,-0.1995447943610005,-0.1877890067248632
-0.001003809868421053,-0.1995447943610005,-0.1881298758250024
-0.001003559868421053,-0.1995447943610005,-0.1881298758250024
-0.001003309868421053,-0.1992013724970819,-0.187789006724863
-0.001003059868421053,-0.1995447943610005,-0.1874481376247237
-0.001002809868421053,-0.1992013724970819,-0.1874481376247237
-0.001002559868421053,-0.1995447943610005,-0.1871072685245843
-0.001002309868421053,-0.2002316380888378,-0.1871072685245841
-0.001002059868421053,-0.1998882162249194,-0.1867663994244451
-0.001001809868421053,-0.2005750599527563,-0.1877890067248626
-0.001001559868421053,-0.1998882162249192,-0.1874481376247237
-0.001001309868421053,-0.1998882162249192,-0.1871072685245843
-0.001001059868421053,-0.2005750599527566,-0.187789006724863
-0.001000809868421053,-0.1998882162249192,-0.187789006724863
-0.001000559868421053,-0.1998882162249194,-0.1877890067248632
