Time (s),Channel 1 (V),Channel 2 (V)
-0.0010237668,-0.1998882162249192,-0.06439439247441708
-0.0010235168,-0.1992013724970817,-0.06405352337427789
-0.0010232668,-0.1988579506331633,-0.06439439247441693
-0.0010230168,-0.1995447943610002,-0.06405352337427789
-0.0010227668,-0.1995447943610005,-0.06405352337427773
-0.0010225168,-0.1998882162249192,-0.06439439247441708
-0.0010222668,-0.1995447943610005,-0.06473526157455643
-0.0010220168,-0.1995447943610008,-0.06439439247441724
-0.0010217668,-0.2002316380888378,-0.06473526157455628
-0.0010215168,-0.1998882162249194,-0.06439439247441724
-0.0010212668,-0.2002316380888379,-0.06439439247441708
-0.0010210168,-0.1998882162249192,-0.06405352337427773
-0.0010207668,-0.2002316380888379,-0.06473526157455643
-0.0010205168,-0.1995447943610005,-0.06439439247441708
-0.0010202668,-0.1992013724970822,-0.06405352337427789
-0.0010200168,-0.1998882162249189,-0.06439439247441693
-0.0010197668,-0.2002316380888378,-0.06405352337427789
-0.0010195168,-0.2002316380888379,-0.06405352337427773
-0.0010192668,-0.2002316380888379,-0.06473526157455643
-0.0010190168,-0.1995447943610005,-0.06439439247441708
-0.0010187668,-0.2002316380888379,-0.0650761306746958
-0.0010185168,-0.2002316380888378,-0.0650761306746958
-0.0010182668,-0.1998882162249194,-0.0650761306746958
-0.0010180168,-0.1998882162249192,-0.06473526157455659
-0.0010177668,-0.2002316380888379,-0.06439439247441708
-0.0010175168,-0.1995447943610005,-0.06473526157455643
-0.0010172668,-0.2002316380888379,-0.0650761306746958
-0.0010170168,-0.2005750599527563,-0.06473526157455613
-0.0010167668,-0.199888216224919,-0.06405352337427821
-0.0010165168,-0.1995447943610007,-0.06507613067469532
-0.0010162668,-0.2002316380888379,-0.0650761306746958
-0.0010160168,-0.1995447943610005,-0.06473526157455643
-0.0010157668,-0.2002316380888379,-0.06541699977483514
-0.0010155168,-0.1995447943610005,-0.06507613067469595
-0.0010152668,-0.1995447943610001,-0.06541699977483514
-0.0010150168,-0.1985145287692449,-0.06541699977483514
-0.0010147668,-0.1985145287692445,-0.06507613067469595
-0.0010145168,-0.1985145287692445,-0.06541699977483514
-0.0010142668,-0.1981711069053257,-0.06473526157455643
-0.0010140168,-0.1995447943610005,-0.06473526157455643
-0.0010137668,-0.1995447943610007,-0.06473526157455643
-0.0010135168,-0.1998882162249192,-0.06473526157455659
-0.0010132668,-0.1998882162249192,-0.06507613067469564
-0.0010130168,-0.1998882162249192,-0.0650761306746958
-0.0010127668,-0.1995447943610005,-0.06575786887497449
-0.0010125168,-0.2002316380888379,-0.0650761306746958
-0.0010122668,-0.1998882162249192,-0.0650761306746958
