Time (s),Channel 1 (V),Channel 2 (V)
-0.001023964549483013,-0.1998882162249192,-0.1209786630975498
-0.001023714549483013,-0.2002316380888379,-0.1209786630975499
-0.001023464549483013,-0.2002316380888379,-0.121319532197689
-0.001023214549483013,-0.2005750599527564,-0.1206377939974107
-0.001022964549483013,-0.2002316380888379,-0.1213195321976891
-0.001022714549483013,-0.1995447943610005,-0.1213195321976891
-0.001022464549483013,-0.1998882162249192,-0.1209786630975498
-0.001022214549483013,-0.1995447943610007,-0.121319532197689
-0.001021964549483013,-0.1998882162249192,-0.1209786630975499
-0.001021714549483013,-0.1998882162249192,-0.121319532197689
-0.001021464549483013,-0.1995447943610005,-0.1213195321976891
-0.001021214549483013,-0.2002316380888379,-0.1213195321976891
-0.001020964549483013,-0.2002316380888379,-0.1216604012978285
-0.001020714549483013,-0.1998882162249192,-0.1213195321976891
-0.001020464549483013,-0.1995447943610007,-0.1213195321976893
-0.001020214549483013,-0.199888216224919,-0.1216604012978283
-0.001019964549483013,-0.1995447943610007,-0.1213195321976893
-0.001019714549483013,-0.1992013724970819,-0.1209786630975498
-0.001019464549483013,-0.1992013724970819,-0.1216604012978285
-0.001019214549483013,-0.1998882162249192,-0.1220012703979678
-0.001018964549483013,-0.1995447943610007,-0.122001270397968
-0.001018714549483013,-0.1998882162249189,-0.1223421394981073
-0.001018464549483013,-0.1992013724970822,-0.1226830085982464
-0.001018214549483013,-0.1995447943610004,-0.1226830085982465
-0.001017964549483013,-0.2005750599527566,-0.1226830085982465
-0.001017714549483013,-0.2009184818166753,-0.1233647467985252
-0.001017464549483013,-0.1995447943610005,-0.1230238776983859
-0.001017214549483013,-0.1998882162249187,-0.1230238776983859
-0.001016964549483013,-0.1988579506331634,-0.1230238776983859
-0.001016714549483013,-0.1995447943610002,-0.1230238776983859
-0.001016464549483013,-0.1988579506331631,-0.1233647467985252
-0.001016214549483013,-0.1992013724970819,-0.1230238776983859
-0.001015964549483013,-0.1995447943610005,-0.1237056158986646
-0.001015714549483013,-0.1988579506331636,-0.1240464849988036
-0.001015464549483013,-0.199888216224919,-0.1233647467985254
-0.001015214549483013,-0.1995447943610007,-0.1237056158986644
-0.001014964549483013,-0.1995447943610005,-0.1237056158986646
-0.001014714549483013,-0.1992013724970819,-0.1237056158986646
-0.001014464549483013,-0.1985145287692445,-0.1237056158986646
-0.001014214549483013,-0.1981711069053257,-0.1243873540989433
-0.001013964549483013,-0.1985145287692443,-0.1230238776983864
-0.001013714549483013,-0.1981711069053262,-0.1240464849988038
-0.001013464549483013,-0.1992013724970814,-0.1237056158986647
-0.001013214549483013,-0.1992013724970819,-0.1237056158986646
-0.001012964549483013,-0.1995447943610005,-0.1240464849988039
-0.001012714549483013,-0.1988579506331631,-0.1240464849988039
-0.001012464549483013,-0.1998882162249192,-0.1243873540989433
-0.001012214549483013,-0.1995447943610008,-0.1243873540989431
-0.001011964549483013,-0.2002316380888376,-0.1240464849988041
-0.001011714549483013,-0.1998882162249194,-0.1243873540989431
-0.001011464549483013,-0.1998882162249192,-0.1243873540989433
-0.001011214549483013,-0.2005750599527566,-0.1247282231990827
-0.001010964549483013,-0.1998882162249192,-0.1247282231990827
-0.001010714549483013,-0.1998882162249189,-0.1247282231990825
-0.001010464549483013,-0.1992013724970822,-0.1243873540989433
-0.001010214549483013,-0.1998882162249189,-0.1243873540989433
-0.001009964549483013,-0.2002316380888379,-0.125069092299222
-0.001009714549483013,-0.1995447943610005,-0.125069092299222
-0.001009464549483013,-0.2002316380888379,-0.125069092299222
-0.001009214549483013,-0.1995447943610005,-0.1247282231990827
-0.001008964549483013,-0.1988579506331633,-0.125409961399361
-0.001008714549483013,-0.1992013724970817,-0.124728223199083
-0.001008464549483013,-0.1998882162249189,-0.1250690922992218
-0.001008214549483013,-0.1998882162249192,-0.1257508304995007
-0.001007964549483013,-0.1995447943610005,-0.1247282231990827
-0.001007714549483013,-0.1998882162249192,-0.125069092299222
-0.001007464549483013,-0.1988579506331634,-0.1254099613993612
-0.001007214549483013,-0.1995447943610002,-0.125069092299222
-0.001006964549483013,-0.1988579506331634,-0.125069092299222
-0.001006714549483013,-0.1995447943610005,-0.1254099613993613
-0.001006464549483013,-0.1995447943610005,-0.1254099613993613
-0.001006214549483013,-0.1995447943610005,-0.125069092299222
-0.001005964549483013,-0.1988579506331631,-0.125069092299222
-0.001005714549483013,-0.199888216224919,-0.1257508304995007
-0.001005464549483013,-0.1995447943610007,-0.1257508304995007
-0.001005214549483013,-0.199201372497082,-0.1254099613993615
-0.001004964549483013,-0.1988579506331631,-0.125069092299222
-0.001004714549483013,-0.1985145287692445,-0.1254099613993613
-0.001004464549483013,-0.1981711069053257,-0.1254099613993613
-0.001004214549483013,-0.198171106905326,-0.1254099613993612
-0.001003964549483013,-0.1988579506331628,-0.1250690922992226
-0.001003714549483013,-0.198171106905326,-0.1264325686997788
-0.001003464549483013,-0.1988579506331631,-0.1257508304995007
-0.001003214549483013,-0.1992013724970819,-0.1257508304995007
-0.001002964549483013,-0.1985145287692445,-0.1264325686997794
-0.001002714549483013,-0.1988579506331631,-0.1254099613993613
-0.001002464549483013,-0.1985145287692448,-0.1257508304995009
-0.001002214549483013,-0.1992013724970816,-0.1260916995996399
-0.001001964549483013,-0.1992013724970819,-0.1257508304995009
-0.001001714549483013,-0.1992013724970819,-0.1260916995996401
-0.001001464549483013,-0.2002316380888379,-0.1264325686997794
-0.001001214549483013,-0.1998882162249192,-0.1260916995996401
-0.001000964549483013,-0.1998882162249192,-0.1260916995996402
-0.001000714549483013,-0.199888216224919,-0.1264325686997797
-0.001000464549483013,-0.1995447943610007,-0.1271143069000578
-0.001000214549483013,-0.1998882162249192,-0.1267734377999188
-0.0009999645494830132,0.03329522937587376,-0.08995957498486859
-0.0009997145494830132,0.2001982552403589,-0.007810121851284412
-0.0009994645494830132,0.2019153645599523,0.02764026456320835
-0.0009992145494830131,0.202258786423871,0.04332024316962186
-0.0009989645494830133,0.202258786423871,0.05047849427254177
-0.0009987145494830133,0.2029456301517081,0.05525066167449381
-0.0009984645494830132,0.2029456301517084,0.0572958762753321
-0.0009982145494830132,0.202258786423871,0.05934109087616822
-0.0009979645494830132,0.2015719426960336,0.06002282907644692
-0.0009977145494830131,0.2019153645599523,0.06138630547700481
-0.0009974645494830131,0.201915364559952,0.06240891277742302
-0.0009972145494830133,0.2012285208321153,0.06377238917797919
-0.0009969645494830133,0.2015719426960336,0.06411325827811916
-0.0009967145494830132,0.2008850989681962,0.06479499647839787
-0.0009964645494830132,0.2008850989681962,0.06581760377881593
-0.0009962145494830132,0.2008850989681962,0.06581760377881593
-0.0009959645494830131,0.2008850989681962,0.06684021107923446
-0.0009957145494830133,0.2008850989681962,0.06786281837965158
-0.0009954645494830133,0.2008850989681962,0.06922629478020885
-0.0009952145494830133,0.1998548333764402,0.06854455657993076
-0.0009949645494830132,0.1998548333764402,0.06990803298048817
-0.0009947145494830132,0.1995114115125215,0.07024890208062753
-0.0009944645494830132,0.2001982552403587,0.07093064028090654
-0.0009942145494830131,0.1998548333764403,0.07161237848118525
-0.0009939645494830133,0.2001982552403587,0.07229411668146335
-0.0009937145494830133,0.2001982552403589,0.07297585488174205
-0.0009934645494830132,0.2005416771042776,0.07331672398188172
-0.0009932145494830132,0.2005416771042776,0.07365759308202106
-0.0009929645494830132,0.2001982552403589,0.07502106948257847
-0.0009927145494830131,0.2001982552403591,0.07570280768285749
-0.0009924645494830131,0.2005416771042773,0.0763845458831359
-0.0009922145494830133,0.1998548333764405,0.0763845458831359
-0.0009919645494830133,0.1998548333764402,0.0763845458831359
-0.0009917145494830132,0.1991679896486028,0.07672541498327524
-0.0009914645494830132,0.1991679896486028,0.07706628408341459
-0.0009912145494830132,0.1991679896486028,0.0777480222836933
-0.0009909645494830131,0.1998548333764403,0.07774802228369346
-0.0009907145494830133,0.2001982552403587,0.0780888913838325
-0.0009904645494830133,0.2005416771042774,0.07877062958411106
-0.0009902145494830132,0.1998548333764402,0.07911149868425071
-0.0009899645494830132,0.1995114115125215,0.07945236778439008
-0.0009897145494830132,0.2001982552403589,0.08013410598466877
-0.0009894645494830131,0.2001982552403587,0.08115671328508699
-0.0009892145494830131,0.1998548333764402,0.08149758238522604
-0.0009889645494830133,0.1998548333764402,0.08115671328508699
