0.000000000000000e+000	-4.893390e-001	-3.071732e-001	-2.070198e-001	-1.488518e-001	-2.673923e-002	-5.000000e-001
2.857142839778655e-009	-4.892675e-001	-3.071690e-001	-2.070168e-001	-1.488505e-001	-2.673894e-002	-4.714286e-001
5.714285679557311e-009	-4.890582e-001	-3.071565e-001	-2.070079e-001	-1.488466e-001	-2.673807e-002	-4.428571e-001
8.571428519335966e-009	-4.887113e-001	-3.071357e-001	-2.069930e-001	-1.488402e-001	-2.673661e-002	-4.142857e-001
1.142857135911462e-008	-4.882266e-001	-3.071065e-001	-2.069722e-001	-1.488313e-001	-2.673457e-002	-3.857143e-001
1.428571419889328e-008	-4.876042e-001	-3.070690e-001	-2.069455e-001	-1.488198e-001	-2.673195e-002	-3.571429e-001
1.714285703867193e-008	-4.868441e-001	-3.070232e-001	-2.069128e-001	-1.488058e-001	-2.672875e-002	-3.285714e-001
1.999999987845058e-008	-4.859462e-001	-3.069690e-001	-2.068742e-001	-1.487892e-001	-2.672496e-002	-3.000000e-001
3.999999975690116e-008	-4.772337e-001	-3.064390e-001	-2.064960e-001	-1.486266e-001	-2.668790e-002	-1.000000e-001
6.000000024309883e-008	-4.627534e-001	-3.055434e-001	-2.058572e-001	-1.483517e-001	-2.662526e-002	1.000000e-001
1.000000000000000e-007	-4.236942e-001	-3.031037e-001	-2.041169e-001	-1.476026e-001	-2.645458e-002	5.000000e-001
1.359999997812111e-007	-3.793546e-001	-3.001904e-001	-2.020394e-001	-1.467064e-001	-2.625056e-002	5.000000e-001
1.719999995624221e-007	-3.371447e-001	-2.972926e-001	-1.999736e-001	-1.458133e-001	-2.604742e-002	5.000000e-001
2.079999993436332e-007	-2.970644e-001	-2.944103e-001	-1.979196e-001	-1.449232e-001	-2.584516e-002	5.000000e-001
2.439999991248443e-007	-2.591139e-001	-2.915436e-001	-1.958772e-001	-1.440362e-001	-2.564377e-002	5.000000e-001
2.799999989060553e-007	-2.232929e-001	-2.886924e-001	-1.938465e-001	-1.431522e-001	-2.544326e-002	5.000000e-001
